X1	X2	cLine_ID	Aliases	RRID.CVCLE	MSI	Tissue	Subtissue	Histology	Subhistology	Gender	Age	Ethnicity	Grade_Stage	Source	COSMIC_ID	COSMIC_membership	ArrayID_CCLE	CCLE_membership	NCI60_membership	X	X.1	X.2	X.3	X.4	X.5	X.6	FID	sp	p	gender	id	cluster.infomap	cluster.walktrap	Q1	Q2	Q3	Q4	Q5	Q6	Q7
266	1.90432370925839	13.0907021291837	ACN		_1068	MSI-S	Autonomic ganglia	NA	Neuroblastoma	NA	Male	3	NA	NA	Primary	906803	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ACN	1	9	0.271646	0.006862	0.001572	1e-05	0.010171	0.706715	0.003024
65	-12.5736998977673	-11.3908623234367	AGS		_0139	MSI-S	Stomach	NA	Carcinoma	Adenocarcinoma	Female	54	Caucasian	NA	Primary	906790	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AGS	9	5	0.31119	0.322479	1e-05	0.053763	0.002277	0.275847	0.034435
267	8.33982786644717	-11.0241220505671	ALL-PO		_1069	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic leukaemia	Female	0.33	NA	NA	Metastasis 	910944	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ALL-PO	5	2	0.414889	0.000748	0.018008	0.02199	0.014455	0.5299	1e-05
892	19.0525925165616	-6.62367376311465	ALL-SIL	ALLSIL	_1805	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic T cell leukaemia	Male	17	NA	NA	NA	1295740	Y	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C09_780208	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ALL-SIL	24	2	0.510897	1e-05	0.014907	0.012659	0.052374	0.395309	0.013843
268	-24.2962108509957	5.98639902156733	AM-38	AM38	_1070	MSI-S	CNS	Brain	Glioma	Glioblastoma multifome; Astrocytoma Grade IV	Male	36	NA	NA	Primary	910933	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AM-38	2	12	0.028463	1e-05	0.05237	0.90777	1e-05	1e-05	0.011367
269	24.0044142118078	-21.3298816033314	AML-193	AML193	_1071	NA	Haematopoietic and lymphoid	NA	Haematopoietic neoplasm	Acute myeloid leukaemia	Female	13	NA	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AML-193	7	4	0.167387	1e-05	1e-05	0.03558	1e-05	0.144204	0.652799
893	-21.4000780006403	4.60841629233142	AMO1	AMO-1	_1806	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Plasma cell myeloma	Female	64	NA	NA	NA	1295741	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E08_490384	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AMO1	2	12	0.01662	1e-05	0.178621	0.791221	1e-05	1e-05	0.013509
22	0.795525002770683	0.956171874124236	AN3-CA	AN3CA	_0028	MSI-H	Endometrium	NA	Carcinoma	Adenocarcinoma	Female	55	Caucasian	NA	Metastasis 	910781	Y	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AN3-CA	1	9	0.315378	1e-05	0.010816	0.008523	0.03206	0.62959	0.003624
270	19.5463303481763	-6.91849212640156	ARH-77		_1072	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	B-lymphoblastoid	Female	33	Caucasian	NA	Primary	906765	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ARH-77	24	2	0.612533	0.003783	0.021788	1e-05	0.086333	0.253155	0.022397
1084	-25.7317582108865	-3.20969338931522	ASH-3		_2856	MSI-S	Thyroid	NA	Carcinoma	NA	Female	68	Japanese	NA	NA	1290722	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ASH-3	2	12	1e-05	0.000796	0.204126	0.791603	0.003445	1e-05	1e-05
66	11.1951897356366	5.57506088348559	AsPC-1	ASPC1	_0152	MSI-S	Pancreas	NA	Carcinoma	Ductal carcinoma	Female	62	Caucasian	NA	Metastasis 	910702	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AsPC-1	25	9	0.375658	1e-05	1e-05	0.032325	1e-05	0.582281	0.009705
271	-28.8696754966498	-2.85421172123484	ATN-1		_1073	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic T cell leukaemia	Male	47	NA	NA	Primary	910687	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	ATN-1	2	12	0.019462	0.000544	0.179808	0.78583	0.014336	1e-05	1e-05
272	-3.85921810164282	-3.98557432358436	AU565		_1074	MSI-S	Breast	NA	Carcinoma	NA	Female	43	Caucasian, White	NA	Metastasis 	910704	Y	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AU565	1	9	0.340844	1e-05	1e-05	0.016718	6.5e-05	0.640659	0.001693
1085	19.1681419094498	-19.6385465880825	AZ-521	AZ521	_2862	NA	Small intestine	Duodenum	Carcinoma	NA	Male	53	NA	NA	NA	NA	NA	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B02_256028	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	AZ-521	7	4	0.091226	1.3e-05	1e-05	0.016971	0.002265	0.105648	0.783866
67	7.33711852779267	-7.07702641714118	B-CPAP	BCPAP	_0153	MSI-S	Thyroid	NA	Carcinoma	NA	Female	76	NA	NA	Primary	924104	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	B-CPAP	5	2	0.509685	0.012599	0.010854	0.004515	0.019231	0.437499	0.005616
273	-25.8819899827381	-1.27278464706702	BALL-1		_1075	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic B cell leukaemia	Male	75	NA	NA	Primary	910705	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BALL-1	2	12	1e-05	1e-05	0.189036	0.810914	1e-05	1e-05	1e-05
274	-3.65381966333359	1.33944515060745	BB30-HNC		_1076	MSI-S	Upper aerodigestive tract	Head neck	Carcinoma	Squamous cell carinoma	Female	NA	NA	NA	Primary	753531	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BB30-HNC	1	9	0.275952	1e-05	1e-05	0.005348	0.008862	0.702746	0.007072
275	4.93404088170398	-7.49657721157789	BB49-HNC		_1077	MSI-S	Upper aerodigestive tract	Head neck	Carcinoma	Squamous cell carinoma	Female	70	NA	NA	Primary	753532	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BB49-HNC	10	9	0.380583	0.005534	1e-05	0.009826	0.021435	0.575972	0.006639
276	-1.12198331163376	12.1419485631365	BB65-RCC		_1078	MSI-S	Kidney	NA	Carcinoma	Clear cell renal cell carcinoma	Male	60	NA	NA	Primary	753533	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BB65-RCC	1	9	0.358173	0.019374	1e-05	0.016464	0.003834	0.596858	0.005287
277	-2.77039961613972	9.2376751024497	BC-1		_1079	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	B cell lymphoma unspecified	Male	46	NA	NA	Metastasis 	910919	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BC-1	1	9	0.305275	0.006365	1e-05	0.00518	0.003977	0.679183	1e-05
278	19.0270115201887	-7.29405514521619	BC-3		_1080	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	B cell lymphoma unspecified	Male	85	Caucasian	NA	Metastasis 	910918	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BC-3	24	2	0.536679	0.010204	1e-05	0.065753	0.063116	0.252986	0.071252
936	13.5097242531689	-5.83514169358145	BC-3C	BC3C	_1958	NA	Urinary tract	Bladder	Carcinoma	Transitional cell carcinoma	Female	82	Caucasian	NA	NA	NA	NA	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C08_490450	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BC-3C	5	2	0.524861	0.002846	1e-05	0.045835	0.037307	0.371309	0.017832
59	19.4573344927292	-6.07577168330759	BCP-1	BCP1	_0107	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	B cell lymphoma unspecified	Male	94	NA	NA	NA	NA	NA	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F10_437220	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BCP-1	24	2	0.625081	0.000671	0.006021	0.019956	0.081001	0.249169	0.018102
1201	2.81342095984171	4.70413461083053	BDCM		_4613	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic B cell leukaemia	Male	NA	NA	NA	NA	NA	NA	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E04_335290	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BDCM	1	9	0.269711	1e-05	1e-05	1e-05	0.025142	0.704931	0.000186
279	15.6664233974488	-3.21605028204505	BE-13		_1081	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic leukaemia	Female	4	NA	NA	Primary	906763	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BE-13	5	2	0.698847	0.013802	0.011785	1e-05	0.108923	0.136468	0.030164
291	19.8702039004247	-6.04751025703002	Becker	BECKER	_1093	MSI-S	CNS	Brain	Glioma	Astrocytoma Grade IV; Glioblastoma multiforme	Male	57	NA	NA	Primary	906746	Y	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	Becker	24	2	0.651739	0.009564	0.000905	0.013122	0.103506	0.217643	0.003522
280	7.58693869034359	2.82769869213181	BEN		_1082	MSI-S	Lung	NA	Carcinoma	NA	Male	71	NA	NA	Metastasis	753534	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BEN	1	9	0.337756	1e-05	1e-05	0.042347	1e-05	0.599532	0.020335
281	-9.47055607092154	28.4315011227184	BFTC-905	BFTC905	_1083	MSI-S	Urinary tract	Bladder	Carcinoma	 Transitional cell carcinoma; Papillary transitional cell carcinoma	Female	51	Chinese	NA	Primary	910926	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BFTC-905	8	8	0.039803	1e-05	0.618112	0.333881	1e-05	1e-05	0.008174
282	-9.44019787339996	28.2636131294959	BFTC-909	BFTC909	_1084	MSI-S	Kidney	NA	Carcinoma	NA	Male	64	Taiwanese, Asian	S_III	Primary	910698	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BFTC-909	8	8	0.010194	1e-05	0.71145	0.278316	1e-05	1e-05	1e-05
1165	25.654220474485	-23.1949859912427	BGC-823	BGC823	_3360	NA	Stomach	NA	Carcinoma	Adenocarcinoma	NA	NA	NA	NA	NA	NA	NA	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D01_411036	Y	NA	NA	NA	NA	NA	NA	NA	NA	NA	cell	cell	NA	BGC-823	7	4	0.139605	0.007699	1e-05	0.02897	1e-05	0.163766	0.659939
